iter	Passed	Remaining
0	44	44106
1	88	44302
2	129	42978
3	177	44277
4	223	44449
5	266	44101
6	312	44262
7	355	44058
8	399	43977
9	440	43611
10	483	43450
11	525	43294
12	568	43124
13	615	43321
14	660	43357
15	706	43434
16	750	43373
17	801	43730
18	843	43555
19	886	43445
20	927	43233
21	970	43158
22	1014	43111
23	1058	43026
24	1099	42878
25	1142	42794
26	1184	42684
27	1233	42811
28	1279	42835
29	1324	42826
30	1370	42844
31	1416	42857
32	1463	42881
33	1511	42949
34	1560	43034
35	1610	43121
36	1656	43118
37	1702	43111
38	1748	43086
39	1791	42995
40	1841	43071
41	1883	42958
42	1925	42860
43	1970	42816
44	2017	42808
45	2060	42730
46	2107	42734
47	2153	42713
48	2198	42667
49	2240	42577
50	2285	42526
51	2331	42497
52	2378	42494
53	2422	42434
54	2470	42449
55	2515	42404
56	2562	42396
57	2609	42375
58	2658	42401
59	2709	42443
60	2767	42606
61	2843	43024
62	2909	43271
63	2968	43409
64	3016	43391
65	3068	43419
66	3118	43422
67	3166	43401
68	3221	43465
69	3271	43466
70	3316	43394
71	3365	43376
72	3415	43369
73	3464	43350
74	3515	43352
75	3583	43573
76	3666	43948
77	3726	44044
78	3782	44092
79	3832	44077
80	3879	44017
81	3930	43997
82	3980	43974
83	4025	43893
84	4074	43862
85	4122	43814
86	4178	43854
87	4233	43878
88	4284	43855
89	4333	43820
90	4380	43760
91	4423	43656
92	4466	43556
93	4508	43452
94	4549	43341
95	4595	43276
96	4638	43177
97	4678	43064
98	4717	42937
99	4755	42802
100	4804	42765
101	4840	42614
102	4877	42480
103	4918	42372
104	4957	42257
105	4996	42137
106	5035	42028
107	5075	41920
108	5113	41802
109	5159	41742
110	5202	41667
111	5245	41587
112	5286	41493
113	5326	41396
114	5368	41310
115	5410	41230
116	5446	41103
117	5482	40981
118	5521	40875
119	5562	40792
120	5602	40700
121	5642	40609
122	5679	40493
123	5718	40397
124	5757	40303
125	5798	40218
126	5833	40101
127	5872	40006
128	5912	39919
129	5951	39827
130	5989	39729
131	6030	39652
132	6070	39574
133	6114	39513
134	6155	39439
135	6196	39367
136	6238	39296
137	6280	39230
138	6322	39161
139	6363	39091
140	6403	39010
141	6445	38945
142	6485	38870
143	6524	38784
144	6556	38657
145	6595	38576
146	6634	38498
147	6678	38446
148	6719	38374
149	6758	38295
150	6799	38229
151	6838	38153
152	6878	38076
153	6915	37988
154	6955	37916
155	6997	37858
156	7034	37769
157	7072	37691
158	7116	37639
159	7157	37575
160	7199	37517
161	7243	37469
162	7284	37405
163	7325	37341
164	7365	37274
165	7406	37210
166	7448	37151
167	7488	37085
168	7527	37012
169	7568	36950
170	7611	36898
171	7655	36851
172	7700	36809
173	7749	36787
174	7791	36733
175	7839	36704
176	7888	36678
177	7931	36628
178	7976	36585
179	8030	36583
180	8084	36582
181	8135	36565
182	8184	36538
183	8225	36479
184	8269	36431
185	8313	36384
186	8359	36345
187	8407	36314
188	8457	36292
189	8511	36285
190	8558	36251
191	8608	36229
192	8659	36206
193	8706	36171
194	8747	36111
195	8789	36055
196	8831	35998
197	8871	35934
198	8913	35879
199	8956	35824
200	8996	35764
201	9036	35700
202	9077	35637
203	9118	35578
204	9159	35522
205	9199	35459
206	9246	35424
207	9288	35367
208	9328	35305
209	9367	35239
210	9406	35172
211	9443	35101
212	9481	35033
213	9521	34971
214	9561	34911
215	9600	34844
216	9639	34780
217	9679	34722
218	9718	34659
219	9757	34594
220	9796	34531
221	9837	34475
222	9877	34416
223	9915	34350
224	9955	34290
225	9994	34230
226	10035	34173
227	10075	34114
228	10116	34060
229	10157	34005
230	10195	33942
231	10235	33882
232	10275	33824
233	10314	33764
234	10353	33702
235	10392	33644
236	10432	33585
237	10471	33525
238	10510	33464
239	10550	33411
240	10596	33371
241	10634	33310
242	10673	33249
243	10711	33187
244	10750	33128
245	10789	33069
246	10828	33012
247	10870	32962
248	10916	32924
249	10959	32877
250	11004	32837
251	11048	32794
252	11089	32741
253	11128	32684
254	11167	32628
255	11207	32570
256	11247	32517
257	11288	32464
258	11326	32406
259	11364	32345
260	11404	32290
261	11444	32238
262	11486	32188
263	11527	32137
264	11566	32079
265	11606	32027
266	11644	31968
267	11685	31918
268	11726	31867
269	11766	31813
270	11806	31760
271	11845	31704
272	11883	31645
273	11925	31597
274	11966	31548
275	12006	31494
276	12046	31443
277	12085	31387
278	12123	31330
279	12165	31281
280	12205	31229
281	12245	31178
282	12285	31126
283	12324	31072
284	12365	31022
285	12405	30969
286	12445	30918
287	12485	30866
288	12524	30813
289	12564	30760
290	12604	30710
291	12643	30655
292	12682	30601
293	12722	30552
294	12763	30503
295	12806	30458
296	12845	30406
297	12886	30357
298	12928	30310
299	12968	30259
300	13007	30207
301	13049	30160
302	13089	30110
303	13128	30057
304	13167	30005
305	13211	29963
306	13250	29911
307	13289	29858
308	13329	29807
309	13368	29756
310	13409	29707
311	13450	29660
312	13489	29607
313	13528	29554
314	13566	29502
315	13606	29451
316	13648	29407
317	13689	29358
318	13732	29315
319	13773	29267
320	13814	29222
321	13856	29176
322	13895	29124
323	13932	29069
324	13973	29021
325	14012	28971
326	14053	28924
